"id","name","lastname","phone","street","city","buildingNumber"
"61","Julita","Bielski","25-830-49-63","al. Dobosz 3719","Obrzycko","88"
"62","Grzegorz","Łapiński","18-050-42-76","ul. Lipiński 067","Łódź","67"
"63","Rozalia","Pawłowski","68-945-37-04","al. Sowa 152","Strzelin","8"
"64","Gerazym","Golec","84-532-15-63","al. Jóźwik 91440","Żmigród","83"
"65","Alina","Sikora","86-729-15-45","al. Gąsiorowski 826","Bardo","94"
"66","Bruno","Siedlecki","95-638-99-68","al. Leszczyński 67128","Puławy","52"
"67","Ksenia","Kalisz","61-949-11-24","al. Cichocki 4383","Lubin","75"
"68","Malwina","Grzyb","82-226-15-44","al. Kotowski 482","Gostynin","72"
"69","Maja","Wiącek","22-072-07-58","ul. Jagiełło 9846","Sława","64"
"70","Liza","Olejnik","24-985-93-32","ul. Kwaśniewski 76542","Reda","94"
"71","Zygmunt","Wrona","13-386-39-92","ul. Szydłowski 98909","Żarów","77"
"72","Hilarion","Białek","81-400-94-73","al. Cichoń 7336","Skoczów","0"
"73","Aleksander","Zaborowski","71-353-24-61","ul. Twardowski 6936","Siemianowice Śląskie","76"
"74","Kalistrat","Bąkowski","61-605-26-83","ul. Mróz 319","Jarocin","1"
"75","Jozue","Stawicki","52-072-58-87","al. Grzesiak 74690","Jedwabne","93"
"76","Władysław","Florczak","59-263-98-03","ul. Gawron 508","Prószków","42"
"77","Rachela","Sitek","67-420-61-32","al. Pilarski 016","Koźmin Wielkopolski","73"
"78","Sybilla","Skoczylas","16-651-80-24","al. Kwieciński 2211","Trzciel","73"
"79","Emanuel","Szczepanik","29-114-36-74","ul. Wnuk 6116","Lubomierz","75"
"80","Katarzyna","Piątek","77-807-75-46","ul. Milczarek 08638","Libiąż","50"
"81","Serafina","Kołodziej","77-421-83-80","al. Niedzielski 3214","Sulechów","20"
"82","Magdalena","Piasecki","63-188-09-39","ul. Kwieciński 78988","Zamość","41"
"83","Dina","Tkaczyk","89-541-62-59","ul. Majcher 619","Węgorzewo","75"
"84","Walenty","Zych","59-536-24-00","ul. Cholewa 233","Biecz","25"
"85","Ludwik","Pakuła","81-943-93-55","al. Niemiec 59805","Tuliszków","95"
"86","Judyta","Kacprzak","59-339-75-09","al. Dobrowolski 99917","Puck","6"
"87","Elżbieta","Prokop","86-112-69-48","al. Janiak 273","Gryfów Śląski","78"
"88","Emil","Wójtowicz","14-656-87-87","al. Kozieł 7658","Chojna","66"
"89","Renata","Kozak","22-453-76-44","al. Frąckowiak 60225","Polanów","23"
"90","Maurycy","Głowacki","82-110-52-74","al. Urbańczyk 16912","Dąbie","72"
"91","Stanisław","Wójcik","52-619-29-68","al. Pawelec 744","Zdzieszowice","85"
"92","Józefina","Piątkowski","52-938-99-40","ul. Wójcicki 25539","Stęszew","38"
"93","Oleg","Modzelewski","68-295-04-57","al. Puchalski 62341","Brzeszcze","19"
"94","Zygmunt","Kaszuba","41-617-96-21","al. Bieniek 90646","Lwówek Śląski","45"
"95","Natalia","Olejniczak","24-366-97-80","ul. Szcześniak 1196","Łowicz","3"
"96","Gracja","Zieliński","84-257-78-19","al. Jankowski 4501","Ostroróg","8"
"97","Wiktoria","Ptak","58-768-47-42","ul. Kosowski 068","Narol","59"
"98","Regina","Czyżewski","85-456-59-24","ul. Stolarski 786","Piotrków Kujawski","86"
"99","Leonard","Sowa","46-018-07-72","al. Pałka 86342","Miłomłyn","76"
"100","Łucja","Lech","43-253-62-95","al. Zięba 72515","Rzepin","68"
"101","Kalistrat","Głąb","67-232-73-23","ul. Mazurek 2379","Barlinek","34"
"102","Maria","Zawada","14-497-97-05","ul. Kmiecik 059","Stalowa Wola","93"
"103","Eleonora","Gąsior","54-478-89-45","al. Pietruszka 240","Wrocław","59"
"104","Cyra","Maciąg","48-122-24-28","ul. Kruszewski 07275","Gryfów Śląski","59"
"105","Ludwika","Walczak","75-251-84-84","ul. Kowalik 9854","Mława","15"
"106","Bernard","Kowalewski","46-636-17-46","al. Skiba 38427","Zawichost","40"
"107","Stella","Dudziński","23-733-52-41","al. Zieliński 058","Obrzycko","80"
"108","Katarzyna","Wawrzyniak","33-305-49-22","ul. Łukasiewicz 6081","Świdnica","97"
"109","Spirydion","Piotrowicz","12-182-05-01","al. Walczak 8512","Gniew","6"
"110","Stella","Kaszuba","54-755-52-91","al. Tracz 27909","Gdynia","94"
"111","Dominik","Zajączkowski","16-152-51-76","al. Borek 15524","Koszalin","31"
"112","Nadzieja","Górski","29-652-61-80","ul. Socha 8661","Kłobuck","2"
"113","Leonard","Szczepański","56-198-14-24","ul. Szyszka 0075","Czarnków","79"
"114","Roger","Ossowski","16-108-46-12","ul. Konopka 5518","Jędrzejów","62"
"115","Diana","Jóźwiak","33-124-81-74","al. Tarnowski 7446","Nowogród Bobrzański","49"
"116","Hilarion","Adamiak","75-886-55-96","ul. Gadomski 768","Mszczonów","28"
"117","Dorian","Adamiec","23-850-29-86","ul. Klimczak 430","Brzostek","50"
"118","Roman","Andrzejczak","32-527-53-33","ul. Cholewa 385","Bydgoszcz","75"
"119","Julian","Dziuba","76-404-13-71","al. Bielecki 5940","Świebodzice","2"
"120","Igor","Juszczak","34-332-37-74","ul. Frankowski 9470","Blachownia","75"
"121","Konstancja","Wasiak","62-567-24-25","ul. Błaszczyk 483","Bobowa","39"
"122","Wawrzyniec","Wilczek","46-391-20-57","ul. Gałka 82391","Miłosław","55"
"123","Penelopa","Orłowski","46-188-00-68","al. Ziółkowski 65551","Janowiec Wielkopolski","79"
"124","Sebastian","Pawelec","46-035-95-32","al. Świątek 64803","Pilawa","19"
"125","Liliana","Wiącek","91-083-84-88","ul. Stelmach 14222","Siemiatycze","68"
"126","Agaton","Karwowski","89-371-05-78","ul. Napierała 347","Bytom","82"
"127","Ewelina","Kucharski","95-742-72-02","al. Pasternak 640","Glinojeck","46"
"128","Ryszard","Lipka","23-034-81-89","al. Czerwiński 8679","Sokołów Podlaski","43"
"129","Innocenty","Mucha","48-179-76-46","ul. Paczkowski 23509","Kowary","65"
"130","Efraim","Masłowski","17-250-85-22","ul. Karpiński 03556","Piwniczna-Zdrój","78"
"131","Piotr","Adamiec","74-671-47-08","ul. Bąkowski 422","Zakliczyn","29"
"132","Emilia","Olczak","83-851-77-74","ul. Szostak 167","Ostrów Wielkopolski","66"
"133","Ignacy","Staniszewski","82-455-55-64","al. Gąsiorowski 30638","Lublin","16"
"134","Cezary","Śliwa","74-868-01-18","ul. Banasiak 7850","Władysławowo","99"
"135","Agata","Walczak","86-980-18-11","al. Bielak 116","Ostrołęka","88"
"136","Malwina","Szczygieł","76-680-79-38","ul. Komorowski 442","Prusice","93"
"137","Ignacy","Dobosz","32-228-96-64","ul. Jezierski 9165","Trzebnica","5"
"138","Wilhelmina","Twardowski","77-702-54-20","ul. Urbański 71059","Gryfino","58"
"139","Baldwin","Kaczmarczyk","81-101-43-63","ul. Maślanka 3117","Rychwał","87"
"140","Liza","Cieślik","91-513-37-89","al. Kania 28931","Mieroszów","55"
"141","Pankracy","Krupiński","59-510-47-62","al. Janik 68945","Duszniki-Zdrój","77"
"142","Nestor","Sobczyk","18-632-09-84","ul. Kos 437","Książ Wielkopolski","90"
"143","Malwina","Dobrowolski","17-932-22-96","ul. Czarnecki 8773","Wałcz","88"
"144","Ksawery","Borowski","62-681-23-83","ul. Łukasik 05593","Maszewo","3"
"145","Nina","Marcinkowski","48-854-93-67","ul. Borowski 52355","Raciąż","5"
"146","Rachela","Sobolewski","25-181-89-12","al. Wolny 9360","Kolbuszowa","72"
"147","Efraim","Drozd","13-250-29-47","ul. Dec 22242","Nowy Sącz","42"
"148","Pantaleon","Sawicki","56-736-86-64","ul. Wyszyński 598","Raszków","10"
"149","Paula","Pilarski","29-399-59-27","al. Napierała 395","Radymno","63"
"150","Wawrzyniec","Kałuża","67-014-89-69","ul. Pawelec 51854","Twardogóra","17"
"151","Klara","Rzepka","15-797-08-75","ul. Kania 64627","Zawichost","24"
"152","Lilianna","Szczygieł","63-596-28-83","ul. Stachowicz 251","Krośniewice","7"
"153","Spirydion","Siedlecki","34-596-49-42","al. Lenart 55298","Kościerzyna","98"
"154","Gertruda","Śliwiński","12-453-43-04","ul. Bukowski 6889","Szczawno-Zdrój","69"
"155","Ksenia","Jastrzębski","16-367-88-93","ul. Błaszczyk 4792","Wielichowo","88"
"156","Hipolit","Izdebski","32-253-13-53","al. Rybak 722","Miłakowo","61"
"157","Randolf","Lasota","83-245-24-56","al. Ślusarczyk 28650","Wojcieszów","11"
"158","Julita","Kiełbasa","52-311-16-26","ul. Matuszak 992","Lubawka","10"
"159","Estera","Stachurski","17-333-38-21","al. Kaszuba 572","Gdańsk","85"
"160","Kalistrat","Rusin","12-002-32-59","ul. Pytel 755","Wysoka","75"
"161","Krzysztof","Gąsiorowski","16-643-37-16","al. Zygmunt 496","Rychwał","97"
"162","Roksana","Krakowiak","89-358-23-25","ul. Bednarczyk 460","Barczewo","87"
"163","Nadzieja","Sowiński","75-845-39-50","al. Łapiński 909","Ostroróg","80"
"164","Adam","Buczek","24-765-35-63","al. Sokół 039","Krzyż Wielkopolski","77"
"165","Patrycjusz","Chmiel","56-875-19-18","al. Gil 74015","Knurów","45"
"166","Andżelika","Dąbrowski","76-684-11-01","al. Baran 3313","Piła","24"
"167","Regina","Zajączkowski","62-196-09-86","al. Januszewski 152","Stoczek Łukowski","79"
"168","Sabina","Kędzierski","67-553-52-64","ul. Dobrowolski 9703","Włoszczowa","65"
"169","Erwin","Grzyb","44-590-19-15","al. Marchewka 420","Kępice","87"
"170","Hugo","Nowacki","46-551-93-02","al. Włodarski 85287","Witnica","70"
"171","Józefina","Gawroński","15-492-58-11","al. Czechowski 2245","Stronie Śląskie","76"
"172","Izabela","Porębski","71-009-14-14","al. Kubiak 6463","Dzierzgoń","44"
"173","Lucja","Głowacki","56-907-45-15","al. Jagiełło 777","Cieszanów","72"
"174","Joachim","Szczygieł","42-955-57-82","ul. Chmiel 54231","Ostróda","62"
"175","Larysa","Małek","34-603-92-71","al. Muszyński 216","Łochów","60"
"176","Mateusz","Niedziela","23-853-05-71","al. Brzozowski 0317","Kamieńsk","81"
"177","Demetriusz","Adamczak","48-479-18-43","al. Skibiński 2335","Czarna Białostocka","91"
"178","Roksana","Wawrzyniak","55-562-98-01","ul. Olejniczak 2963","Biecz","28"
"179","Izolda","Mielczarek","58-879-07-73","al. Stefaniak 2491","Szczebrzeszyn","59"
"180","Michał","Łukasik","23-444-12-19","al. Kasperek 6668","Dobrodzień","76"
"181","Gloria","Jarząbek","44-130-33-39","ul. Niewiadomski 983","Margonin","99"
"182","Bazyli","Kubica","87-499-22-47","ul. Lipiński 435","Sieradz","65"
"183","Terencjusz","Kisiel","91-403-72-86","al. Florek 827","Zbąszynek","64"
"184","Zygmunt","Kasprzyk","61-351-33-43","al. Molenda 68775","Garwolin","97"
"185","Justyna","Włodarski","54-713-98-95","ul. Milczarek 08490","Szczyrk","22"
"186","Borys","Zaręba","76-745-26-80","ul. Banasiak 140","Gryfów Śląski","79"
"187","Laura","Słowik","85-382-39-34","al. Marczak 62547","Żelechów","18"
"188","Damian","Kowalczyk","74-315-70-06","al. Trojanowski 37574","Kobylin","7"
"189","Daria","Kuciński","56-103-21-86","ul. Cieślik 249","Chełmek","82"
"190","Izabela","Wilk","94-448-99-34","al. Jagodziński 422","Tuczno","19"
"191","Andżelika","Pilarski","54-617-00-09","ul. Wolski 058","Głogów","48"
"192","Antoni","Miller","34-145-57-34","al. Misztal 39273","Stary Sącz","28"
"193","Dorota","Kowal","94-788-07-41","al. Niedźwiecki 8816","Zduny","6"
"194","Onufry","Kołodziejczyk","55-019-51-62","al. Dębowski 3783","Krotoszyn","56"
"195","Leonid","Hajduk","91-257-86-93","ul. Góral 2314","Świeradów-Zdrój","23"
"196","Ksenia","Piasecki","22-329-26-92","ul. Dominiak 410","Kargowa","42"
"197","Onufry","Słowik","32-425-35-23","ul. Strzelczyk 679","Lublin","12"
"198","Serafina","Augustyn","41-235-59-16","ul. Michałowski 54797","Tarnowskie Góry","56"
"199","Feliks","Kowalik","94-133-38-45","al. Wojtas 649","Kowal","37"
"200","Konstanty","Wojtasik","81-944-22-48","ul. Zawadzki 22709","Zelów","7"
"201","Ksawera","Bąkowski","22-804-96-33","al. Buczek 3332","Książ Wielkopolski","14"
"202","Innocenty","Cholewa","75-741-07-77","ul. Komorowski 141","Łabiszyn","99"
"203","Patrycja","Trojanowski","46-944-54-89","al. Gutowski 8599","Tarnowskie Góry","0"
"204","Tamara","Michalski","22-618-28-07","ul. Pilarski 764","Krzanowice","66"
"205","Cecylia","Flis","85-745-05-43","ul. Urban 02618","Kazimierza Wielka","64"
"206","Angelina","Wilk","54-680-28-17","ul. Koza 0711","Oborniki Śląskie","58"
"207","Bazyli","Augustyniak","95-864-41-73","ul. Pawlak 238","Dąbrowa Górnicza","65"
"208","Patrycy","Olszewski","91-042-29-03","ul. Góra 914","Łosice","65"
"209","Kazimierz","Majka","94-174-42-94","ul. Rosiński 983","Inowrocław","98"
"210","Maksym","Mazurkiewicz","56-836-51-57","al. Golec 23717","Muszyna","9"
"211","Izabela","Kobus","48-324-87-14","ul. Olejnik 9036","Brzesko","82"
"212","Stanisław","Bartnik","61-898-60-35","ul. Jackowski 114","Trzebinia","67"
"213","Józefina","Sawicki","75-759-50-30","ul. Maliszewski 0714","Czarnków","87"
"214","Tekla","Budzyński","81-827-92-16","ul. Kruk 456","Iława","6"
"215","Konstanty","Polak","22-865-28-18","ul. Masłowski 42363","Bierutów","88"
"216","Oleg","Kaczor","12-585-07-84","ul. Polak 9887","Rawicz","5"
"217","Jakub","Marchewka","55-807-49-38","al. Kamiński 240","Wojcieszów","57"
"218","Pelagia","Przybyła","62-285-78-78","ul. Konieczny 6366","Sosnowiec","31"
"219","Onufry","Grzybowski","16-890-03-70","ul. Skibiński 655","Polanów","9"
"220","Kornelia","Dec","62-789-55-16","ul. Lipka 03250","Krajenka","7"
"221","Seweryn","Czyż","61-321-78-46","al. Łuczak 21946","Jarocin","42"
"222","Korneli","Pawelec","65-203-57-17","al. Czyżewski 9920","Łochów","93"
"223","Samuel","Czarnecki","65-708-75-59","ul. Urban 540","Ruda Śląska","61"
"224","Ludwika","Juszczak","43-973-42-75","al. Węgrzyn 88073","Baborów","95"
"225","Piotr","Lisowski","32-892-89-61","ul. Jaworski 765","Orzesze","41"
"226","Agrypina","Maliszewski","95-412-88-96","ul. Czerniak 0870","Brześć Kujawski","63"
"227","Waleria","Urbanowicz","41-335-96-95","al. Rogalski 8981","Dąbie","60"
"228","Patryk","Grudzień","23-906-87-95","ul. Pytel 7112","Włoszczowa","78"
"229","Mikołaj","Rusin","61-376-39-59","al. Kuczyński 935","Strzelce Krajeńskie","34"
"230","Krystyna","Rogowski","86-735-12-61","al. Chmiel 1589","Kępice","76"
"231","Alwar","Skowroński","71-210-39-35","al. Buczkowski 96895","Margonin","18"
"232","Abraham","Lenart","34-414-76-48","ul. Michalczyk 405","Sierpc","49"
"233","Łukasz","Tkaczyk","75-723-63-05","ul. Wójcicki 6942","Bytom","67"
"234","Sergiusz","Majchrzak","44-754-43-13","al. Wrona 333","Skórcz","90"
"235","Maria","Szatkowski","23-214-65-32","ul. Marciniak 726","Orzysz","35"
"236","Filipa","Orłowski","46-512-61-54","ul. Malicki 1362","Barwice","99"
"237","Cyryl","Ostrowski","17-876-62-72","ul. Królikowski 127","Sułkowice","34"
"238","Łucja","Mroczek","18-169-15-57","al. Adamek 683","Olecko","60"
"239","Hilary","Urbanowicz","55-043-75-15","ul. Augustyn 419","Oleszyce","1"
"240","Porfiriusz","Kozłowski","55-702-91-63","ul. Pietruszka 4243","Grodzisk Wielkopolski","39"
"241","Franciszka","Piekarski","59-466-81-61","ul. Chudzik 6093","Tarnobrzeg","85"
"242","Łazarz","Skowroński","14-691-69-90","al. Jagiełło 25919","Drohiczyn","45"
"243","Klara","Bogucki","74-046-77-51","ul. Niemiec 90433","Bardo","61"
"244","Greta","Cybulski","75-934-48-43","ul. Wolski 01687","Gościno","18"
"245","Bernard","Zając","77-134-28-07","al. Gutowski 54959","Buk","54"
"246","Serafina","Zawada","41-195-13-38","al. Wójtowicz 6081","Sędziszów Małopolski","60"
"247","Samuel","Drozd","62-756-53-32","ul. Bartosik 57963","Krapkowice","28"
"248","Gerald","Sowiński","68-304-75-86","al. Piwowarczyk 685","Sędziszów Małopolski","92"
"249","Konrad","Kruszewski","55-216-52-60","ul. Śliwa 9128","Międzyrzecz","61"
"250","Eleonora","Lewandowski","12-655-50-13","ul. Rojek 715","Łęknica","99"
"251","Nikodem","Dębski","56-938-80-30","al. Stec 2691","Sulechów","14"
"252","Erast","Dąbek","67-000-61-42","ul. Kiełbasa 96941","Drohiczyn","5"
"253","Błażej","Staszewski","12-226-26-30","al. Sadowski 870","Kock","4"
"254","Sara","Wróbel","59-872-66-18","al. Wilczyński 88522","Przemyśl","21"
"255","Joanna","Sowiński","77-235-40-23","ul. Cichoń 65133","Rajgród","27"
"256","Nadzieja","Sobieraj","42-664-43-36","ul. Pietrzak 2091","Lubomierz","66"
"257","Noemi","Mróz","43-318-34-46","ul. Młynarczyk 5834","Braniewo","17"
"258","Nazariusz","Gąsiorowski","12-153-98-67","ul. Sławiński 188","Rypin","35"
"259","Daniel","Florczak","12-271-23-83","ul. Gadomski 5738","Iwonicz-Zdrój","4"
"260","Zofia","Sowa","63-852-36-97","al. Frankowski 799","Łaszczów","6"
"261","Roland","Żyła","42-060-32-20","al. Olszewski 55702","Żelechów","40"
"262","Roman","Sławiński","86-734-12-00","al. Broda 0092","Lubomierz","45"
"263","Leon","Słowik","94-699-50-14","al. Zaborowski 223","Choroszcz","18"
"264","Korneli","Zwoliński","33-520-20-95","al. Kałuża 2209","Lubań","96"
"265","Osmund","Kowalczuk","84-544-43-39","al. Czechowski 1593","Jawor","60"
"266","Erast","Dudek","54-568-36-01","ul. Kwieciński 30417","Inowrocław","84"
"267","Ida","Kosiński","55-092-39-94","al. Adamiec 27497","Brzostek","25"
"268","Konstantyn","Michalski","29-479-79-04","al. Jarosz 77532","Ząbki","6"
"269","Patrycja","Tomczyk","17-647-04-53","al. Piekarski 845","Górowo Iławeckie","37"
"270","Tekla","Florczak","81-668-31-77","ul. Kaczorowski 94147","Muszyna","49"
"271","Karolina","Szczerba","14-010-62-80","ul. Jagiełło 82231","Wysoka","23"
"272","Rajmund","Kowalczyk","41-941-20-03","ul. Radecki 02393","Przedecz","29"
"273","Klara","Rybak","91-732-65-98","ul. Kaniewski 11739","Kołobrzeg","48"
"274","Melania","Matuszewski","67-071-93-38","al. Rybak 94474","Złotoryja","91"
"275","Kleopatra","Żmuda","13-767-55-14","ul. Nowicki 6225","Ząbkowice Śląskie","34"
"276","Weronika","Przybylski","62-380-94-60","al. Banaś 236","Zielona Góra","12"
"277","Gwido","Kalinowski","44-042-13-37","ul. Czekaj 7791","Swarzędz","85"
"278","Ludwika","Nawrocki","83-232-74-08","al. Prokop 3964","Bielsk Podlaski","96"
"279","Prokop","Piotrowski","71-945-82-99","ul. Woś 46940","Szczecinek","23"
"280","Amanda","Dudek","94-398-49-13","ul. Krukowski 7581","Miłosław","17"
"281","Justyn","Stanisławski","54-457-84-64","ul. Bartosik 002","Malbork","69"
"282","Maja","Kotowski","85-574-77-07","ul. Piątek 04964","Pleszew","57"
"283","Cyra","Rutkowski","22-933-18-92","ul. Piątek 241","Żyrardów","63"
"284","Paulina","Jóźwiak","29-630-79-96","al. Gawron 41792","Iłża","27"
"285","Brajan","Sobieraj","25-922-64-44","al. Niedzielski 6759","Wieleń","28"
"286","Edmund","Rojek","61-608-84-10","al. Kaczorowski 949","Krośniewice","7"
"287","Filip","Lasota","83-705-66-46","ul. Zwoliński 9674","Orzysz","48"
"288","Leon","Rosiński","95-357-64-55","ul. Rak 6862","Dobrzyń nad Wisłą","40"
"289","Edgar","Kuchta","68-751-83-50","ul. Wrona 68751","Oborniki Śląskie","53"
"290","Eliza","Lis","41-808-72-77","al. Piotrowicz 357","Szczebrzeszyn","58"
"291","Gerald","Nowaczyk","15-595-59-72","ul. Marciniak 7854","Sulejówek","14"
"292","Alicja","Czechowski","95-011-53-55","ul. Łapiński 458","Lubraniec","60"
"293","Filip","Borowiec","55-565-72-75","al. Gołębiowski 282","Krzanowice","39"
"294","Wiara","Leszczyński","65-997-78-24","ul. Zwoliński 64912","Sławno","22"
"295","Ksenofont","Maciąg","41-437-29-28","ul. Kuczyński 06082","Rawicz","52"
"296","Irena","Sołtysiak","25-001-86-47","al. Bilski 012","Zielona Góra","32"
"297","Herbert","Michalski","94-598-00-48","ul. Gawron 159","Błażowa","95"
"298","Daniel","Świątek","83-994-18-93","ul. Szczygieł 2589","Byczyna","93"
"299","Joanna","Żurek","75-162-92-93","al. Skiba 78452","Radzymin","32"
"300","Wacław","Szymczyk","12-375-21-25","ul. Stolarczyk 99401","Zagórów","19"
"301","Walerian","Kalinowski","87-771-98-66","ul. Stefański 6845","Gryfice","6"
"302","Aleksandra","Ostrowski","16-764-00-97","al. Malinowski 48350","Prusice","33"
"303","Pankracy","Kalinowski","33-411-20-68","al. Stolarski 429","Łazy","54"
"304","Hubert","Flis","15-195-97-10","ul. Wyszyński 952","Ścinawa","49"
"305","Zachariasz","Marchewka","29-608-64-03","ul. Budzyński 5902","Bobowa","93"
"306","Edward","Piotrowski","54-628-03-29","al. Pakuła 1320","Międzychód","95"
"307","Eleonora","Sobolewski","18-946-59-66","ul. Zych 928","Nałęczów","31"
"308","Hieronim","Michałek","83-377-11-81","al. Zieliński 4895","Gozdnica","44"
"309","Penelopa","Nowakowski","58-504-07-88","al. Staniszewski 945","Czerwionka-Leszczyny","93"
"310","Nadzieja","Serafin","67-424-27-77","ul. Czapla 614","Bojanowo","58"
"311","Monika","Żuk","82-666-92-97","ul. Borkowski 2066","Bochnia","26"
"312","Serafina","Długosz","86-280-86-93","al. Domagała 00004","Żarów","77"
"313","Pelagia","Mroczkowski","89-768-05-24","al. Szwed 506","Żychlin","47"
"314","Leila","Lech","77-708-28-39","ul. Skalski 06505","Dynów","89"
"315","Sylwia","Maćkowiak","81-839-13-61","ul. Sokołowski 48666","Tomaszów Lubelski","18"
"316","Roderyk","Lipka","77-578-16-20","al. Kaczor 075","Połaniec","1"
"317","Matylda","Kopczyński","32-067-45-63","ul. Brzeziński 80650","Nowe Miasto Lubawskie","11"
