"id","name","lastname","phone","street","city","buildingNumber"
"46","Oskar","Morawski","14-851-32-33","ul. Sawicki 88931","Byczyna","10"
"47","Magnus","Szcześniak","41-046-78-65","ul. Guzik 851","Czerwieńsk","29"
"48","Zachariasz","Grzyb","22-362-60-81","al. Gwóźdź 2073","Mosina","44"
"49","Leila","Górski","68-908-17-11","ul. Młynarczyk 3258","Borek Wielkopolski","70"
"50","Arkadiusz","Adamowicz","22-515-08-08","ul. Zych 70204","Żory","47"
"51","Fabian","Skrzypek","84-984-10-58","al. Nowacki 796","Tychowo","8"
"52","Łukasz","Żurawski","48-780-65-70","ul. Skibiński 7796","Leszno","21"
"53","Filip","Urbanowicz","63-471-84-28","ul. Frąckowiak 7914","Czarna Woda","74"
"54","Bernard","Leśniewski","12-959-45-87","al. Michalik 367","Skórcz","27"
"55","Reginald","Grzesik","83-783-89-83","al. Godlewski 7627","Ślesin","12"
"56","Beatrycze","Majewski","77-733-90-89","ul. Fijałkowski 81542","Szczyrk","77"
"57","Melania","Gołębiewski","18-919-94-85","al. Adamek 85543","Wieluń","9"
"58","Jonatan","Dróżdż","43-142-07-39","ul. Kaczorowski 0041","Pyzdry","79"
"59","Eliza","Buczkowski","85-873-75-57","al. Żukowski 4403","Radymno","15"
"60","Anastazja","Czerwiński","46-405-36-73","al. Stasiak 66845","Chojnice","71"
"61","Daniel","Piotrowicz","63-648-61-82","al. Makowski 00521","Łaziska Górne","35"
"62","Nadzieja","Królikowski","85-721-82-34","ul. Budziński 0709","Międzyzdroje","37"
"63","Cyryl","Michałowski","18-946-46-20","al. Rutkowski 550","Strzelce Krajeńskie","83"
"64","Filip","Surma","17-881-15-02","ul. Przybylski 559","Iława","90"
"65","Joachim","Nowacki","42-824-77-12","al. Cieślik 4415","Szprotawa","90"
"66","Arkadiusz","Kwiatkowski","54-730-76-22","al. Urban 868","Kudowa-Zdrój","42"
"67","Izolda","Sobolewski","17-736-81-61","al. Stanek 417","Skoki","78"
"68","Maksymilian","Słowik","71-448-45-85","al. Gruszka 033","Sułkowice","99"
"69","Arkadiusz","Gil","82-937-71-58","ul. Niedźwiecki 907","Wolbrom","17"
"70","Klementyna","Bielawski","23-197-14-34","al. Jurkiewicz 63205","Lubliniec","59"
"71","Patryk","Wilczek","24-412-96-71","ul. Małek 115","Rybnik","66"
"72","Jerzy","Muszyński","68-051-55-57","al. Brzozowski 289","Parczew","17"
"73","Kornel","Łuczak","17-768-21-54","ul. Witek 79220","Karpacz","84"
"74","Galfryd","Bednarz","68-673-07-76","ul. Grzywacz 42006","Kańczuga","55"
"75","Efrem","Dróżdż","86-640-34-31","ul. Czerwiński 191","Czarnków","9"
"76","Randolf","Czerniak","63-105-52-56","ul. Piasecki 8321","Braniewo","17"
"77","Erast","Żak","46-521-51-64","ul. Stachowicz 881","Kostrzyn","74"
"78","Anastazja","Dudzik","84-759-84-08","al. Kaniewski 7754","Szczawnica","10"
"79","Lucja","Jurkiewicz","16-933-62-73","al. Rogalski 302","Szczytna","27"
"80","Izajasz","Polak","33-099-99-82","ul. Augustyn 7556","Jedlina-Zdrój","51"
"81","Edmund","Antczak","32-398-16-90","al. Wojtas 452","Młynary","88"
"82","Efraim","Kucharski","86-636-90-21","al. Sławiński 2200","Trzcianka","49"
"83","Benedykt","Król","63-831-05-01","al. Radecki 913","Jelenia Góra","59"
"84","Adelajda","Dziuba","91-484-84-26","al. Wiącek 4039","Mikołów","96"
"85","Julia","Wojtas","77-126-17-71","ul. Piechota 08635","Lewin Brzeski","10"
"86","Olimpia","Modzelewski","75-198-87-40","al. Pawlik 2969","Wschowa","43"
"87","Hugo","Niewiadomski","12-214-83-29","ul. Januszewski 71775","Pisz","39"
"88","Korneliusz","Kasperek","34-951-71-83","al. Morawski 515","Żarki","83"
"89","Włodzimierz","Bogucki","58-905-31-62","ul. Sokołowski 52430","Szczebrzeszyn","62"
"90","Angelina","Chmura","12-318-65-44","al. Jankowski 60613","Andrychów","32"
"91","Zachariasz","Urbański","54-501-48-31","ul. Adamiec 642","Rypin","28"
"92","Antonina","Bogusz","33-430-03-70","al. Knapik 738","Krosno Odrzańskie","3"
"93","Berta","Mazurkiewicz","94-628-40-87","al. Sołtysiak 3381","Gniew","2"
"94","Anna","Lipiński","74-509-63-12","al. Sieradzki 62922","Gdańsk","78"
"95","Gloria","Szyszka","94-255-78-75","ul. Olejniczak 195","Katowice","64"
"96","Leonard","Kisiel","58-410-03-43","ul. Bieniek 888","Tarnobrzeg","95"
"97","Ofelia","Trzciński","52-200-30-52","al. Kuś 47596","Kalisz","23"
"98","Sergiusz","Pietrzak","34-377-08-89","ul. Motyka 53719","Leżajsk","34"
"99","Stella","Antczak","41-334-83-98","ul. Wilczyński 04965","Mrocza","44"
"100","Bruno","Jasiński","48-199-98-71","al. Rudnicki 105","Suwałki","50"
"101","Maja","Czaja","25-687-91-17","ul. Łukaszewski 209","Węgrów","73"
"102","Adrian","Gawron","48-661-76-66","al. Kaczmarek 4041","Zwoleń","73"
"103","Ferdynanda","Bagiński","62-438-68-17","al. Wnuk 450","Warka","61"
"104","Krystyna","Kozieł","42-268-03-00","ul. Szatkowski 14769","Dębno","48"
"105","Daniel","Jakubiak","43-995-24-16","al. Chojnacki 200","Bielsk Podlaski","61"
"106","Bruno","Masłowski","14-478-81-48","ul. Wąsik 399","Jordanów","58"
"107","Bruno","Musiał","55-173-04-97","al. Pytel 8977","Międzylesie","81"
"108","Anatol","Burzyński","13-888-89-21","al. Wilczek 395","Polkowice","56"
"109","Teresa","Lasota","67-700-40-35","ul. Cholewa 09373","Dziwnów","48"
"110","Błażej","Kubicki","13-977-61-25","al. Filipowicz 0146","Krobia","20"
"111","Michał","Orłowski","33-375-14-72","ul. Adamus 41503","Grodzisk Mazowiecki","79"
"112","Gerazym","Pawlicki","34-176-28-61","al. Kwaśniewski 9797","Jedwabne","87"
"113","Stanisław","Tokarski","41-065-79-62","ul. Strzelczyk 5002","Czempiń","80"
"114","Rudolf","Czajkowski","71-105-94-97","ul. Kędzierski 20069","Luboń","86"
"115","Prokles","Misztal","91-231-73-21","ul. Żmuda 5446","Radomyśl Wielki","64"
"116","Damian","Golec","43-578-38-70","ul. Mróz 39085","Prószków","43"
"117","Natan","Szafrański","29-812-44-47","al. Malicki 59365","Praszka","56"
"118","Kamila","Majchrzak","18-672-67-35","ul. Rybicki 84847","Trzcianka","73"
"119","Prokles","Sieradzki","76-745-27-46","ul. Bednarski 8970","Wolin","13"
"120","Walentyn","Bielak","84-840-81-12","ul. Książek 988","Dęblin","49"
"121","Randolf","Matuszewski","13-763-83-85","ul. Bilski 998","Bieruń","81"
"122","Matylda","Szyszka","17-058-93-28","ul. Wnuk 9029","Obrzycko","93"
"123","Żaneta","Zalewski","83-928-13-98","al. Góra 427","Trzcińsko-Zdrój","26"
"124","Arnold","Osiński","94-255-71-43","ul. Szydłowski 02677","Zgorzelec","10"
"125","Helena","Krawiec","77-021-44-49","ul. Rudzki 35345","Nowy Wiśnicz","18"
"126","Archibald","Kwiatkowski","62-723-02-34","al. Szeląg 9128","Gąbin","23"
"127","Wincenty","Rudzki","76-961-81-08","ul. Witkowski 147","Świdnica","3"
"128","Joanna","Golec","12-058-83-72","ul. Banach 33344","Radomyśl Wielki","82"
"129","Edgar","Szymański","83-761-96-48","al. Stefański 484","Piotrków Trybunalski","73"
"130","Karol","Maślanka","74-572-85-17","ul. Dubiel 4504","Police","88"
"131","Damian","Łukaszewski","71-884-39-60","ul. Piątek 8970","Ciechanów","29"
"132","Maria","Lipka","15-611-89-24","ul. Szeląg 07542","Żyrardów","18"
"133","Krzysztof","Jezierski","22-120-50-99","ul. Kwiatkowski 410","Góra Kalwaria","53"
"134","Teodor","Mikulski","54-595-67-96","al. Węgrzyn 5654","Bardo","92"
"135","Nazariusz","Rakowski","42-537-99-30","ul. Gąsior 6603","Drawsko Pomorskie","30"
"136","Dawid","Wilczyński","87-008-80-93","al. Grabowski 1534","Gostynin","31"
"137","Erast","Kaczyński","62-589-19-01","al. Dudek 611","Międzybórz","57"
"138","Julia","Mika","61-271-57-73","al. Kuczyński 8954","Mszczonów","47"
"139","Magdalena","Płonka","22-463-31-52","al. Łapiński 503","Tomaszów Mazowiecki","60"
"140","Chloe","Krysiak","41-817-58-73","ul. Mika 09143","Bytom Odrzański","28"
"141","Pankracy","Dobosz","24-602-10-30","al. Kruszewski 5230","Czchów","92"
"142","Wilhelmina","Borek","75-684-76-11","ul. Skowron 641","Częstochowa","13"
"143","Archibald","Malinowski","23-829-56-46","ul. Kucharczyk 592","Ziębice","15"
"144","Tomasz","Żak","23-848-84-61","al. Kaźmierczak 4129","Stargard Szczeciński","11"
"145","Edmund","Hajduk","85-631-24-22","ul. Janas 928","Gołańcz","24"
"146","Antoni","Cieślak","15-961-67-53","ul. Bieniek 43497","Lubin","86"
"147","Helena","Szwarc","13-118-79-84","al. Kos 440","Kolonowskie","13"
"148","Maja","Pietrzak","89-033-99-77","ul. Gołąb 603","Zagórów","38"
"149","Agaton","Wawrzyniak","22-117-59-52","ul. Kowalski 12859","Podkowa Leśna","76"
"150","Bazyli","Kamiński","16-438-42-16","ul. Wilczek 229","Grodzisk Wielkopolski","59"
"151","Eudokia","Golec","82-263-20-72","ul. Wilczyński 493","Łasin","58"
"152","Cecyliusz","Fijałkowski","63-641-69-30","ul. Kubicki 96635","Gliwice","24"
"153","Sylwia","Kacprzak","15-288-33-46","al. Łukaszewski 825","Biała","3"
"154","Ansgary","Sadowski","81-017-01-92","al. Gołębiewski 448","Różan","68"
"155","Karolina","Rudziński","81-909-57-04","ul. Jasiński 40584","Bolesławiec","69"
"156","Zachariasz","Ratajczak","23-583-29-95","ul. Adamiec 20255","Zbąszyń","33"
"157","Joachim","Guzik","84-152-70-35","al. Bielawski 62760","Czerniejewo","93"
"158","Damian","Przybylski","46-769-88-20","ul. Rosiak 57469","Trzebinia","26"
"159","Gracja","Mazurek","24-998-40-87","ul. Stachura 992","Lubsko","4"
"160","Arseniusz","Bilski","48-314-12-91","al. Matysiak 804","Legnica","11"
"161","Izajasz","Dziuba","59-580-70-50","al. Chrzanowski 6298","Margonin","74"
"162","Teodora","Szwed","85-768-66-13","ul. Borkowski 757","Goniądz","31"
"163","Pankracy","Tomczak","16-089-57-58","al. Matuszak 0261","Chełmek","67"
"164","Wanda","Kruk","54-010-61-44","ul. Łukasiewicz 5166","Skępe","8"
"165","Kazimierz","Twardowski","89-368-93-96","al. Kowalczyk 273","Płock","97"
"166","Sergiusz","Kołakowski","81-617-14-36","al. Grzesiak 2764","Police","10"
"167","Polikarp","Kwaśniewski","89-720-68-34","al. Łukaszewski 39337","Olecko","68"
"168","Brygida","Kozłowski","33-770-52-10","al. Zwoliński 1332","Chojna","20"
"169","Julia","Socha","54-871-45-27","ul. Ciesielski 5411","Rudnik nad Sanem","41"
"170","Hipolit","Zarzycki","76-952-07-06","al. Wieczorek 662","Cybinka","89"
"171","Patrycja","Żebrowski","87-837-98-84","al. Zabłocki 941","Przedbórz","87"
"172","Fryderyk","Wolski","77-907-04-57","al. Mazurkiewicz 79824","Oborniki Śląskie","19"
"173","Dominik","Adamus","14-541-57-76","ul. Sołtysiak 571","Łazy","20"
"174","Tamara","Prokop","74-904-63-59","al. Kruszewski 0079","Nałęczów","60"
"175","Laura","Radomski","48-926-05-81","al. Majka 3323","Stronie Śląskie","78"
"176","Henryk","Rudziński","43-546-26-82","al. Sikora 193","Pniewy","62"
"177","Matylda","Mrozek","25-886-88-28","ul. Nawrot 81110","Wyszków","65"
"178","Henryk","Partyka","75-546-36-29","al. Kubicki 82170","Maszewo","20"
"179","Amanda","Urbańczyk","65-986-53-87","ul. Grzyb 32068","Cieszyn","60"
"180","Magnus","Hajduk","44-599-34-05","al. Tokarski 097","Tuchów","10"
"181","Agrypina","Szewczyk","16-062-07-27","ul. Kuś 20797","Kamieńsk","91"
"182","Rufina","Kosiński","48-711-77-91","al. Grabowski 5674","Dobre Miasto","36"
"183","Leon","Dobrowolski","41-316-44-22","al. Jarząbek 1237","Kalisz","85"
"184","Hanna","Lipiński","17-369-30-98","ul. Paluch 47619","Szczucin","76"
"185","Kwintyn","Lenart","68-803-44-04","al. Piwowarczyk 6394","Mława","56"
"186","Angelina","Cybulski","86-435-35-72","al. Adamski 7102","Rybnik","33"
"187","Jozue","Makowski","33-707-32-58","ul. Czyżewski 92212","Rakoniewice","2"
"188","Teresa","Sokół","63-859-30-70","ul. Mrozek 8097","Zwierzyniec","56"
"189","Izaak","Dziuba","71-957-89-13","al. Zajączkowski 033","Rabka-Zdrój","51"
"190","Modest","Skalski","81-598-40-25","ul. Jagiełło 35209","Ińsko","98"
"191","Henryk","Graczyk","91-582-82-02","al. Wyszyński 571","Jastrowie","42"
"192","Cecyliusz","Skowron","71-918-37-03","ul. Broda 097","Lipiany","8"
"193","Mojżesz","Słowiński","14-173-86-43","ul. Kosiński 9320","Inowrocław","83"
"194","Apollo","Cichy","24-788-52-70","ul. Grzywacz 27480","Trzcińsko-Zdrój","76"
"195","Borys","Miśkiewicz","22-475-08-26","al. Barański 15194","Raciąż","41"
"196","Szymon","Filipiak","61-098-10-37","ul. Piasecki 7177","Kąty Wrocławskie","30"
"197","Gilbert","Frątczak","48-888-27-25","al. Dębski 73424","Szamocin","2"
"198","Matylda","Bober","14-281-63-04","ul. Jankowiak 37728","Rabka-Zdrój","59"
"199","Daria","Siedlecki","17-605-52-90","ul. Dudziński 70791","Głogówek","71"
"200","Malwina","Florczak","58-922-31-58","ul. Mierzejewski 754","Żabno","29"
"201","Konstancja","Lach","22-536-94-09","ul. Chudzik 3054","Świerzawa","68"
"202","Osmund","Janowski","41-486-07-68","al. Cybulski 39105","Kosów Lacki","88"
"203","Roger","Smoliński","94-545-00-43","ul. Kaczmarski 81699","Janów Lubelski","55"
"204","Paulina","Gajda","58-816-57-21","al. Staszewski 0322","Korsze","80"
"205","Patrycja","Głogowski","56-450-14-50","al. Janowski 3981","Stargard Szczeciński","98"
"206","Amabela","Kołodziej","71-128-76-90","ul. Florek 36683","Lubień Kujawski","25"
"207","Laurencja","Jabłoński","54-204-31-75","ul. Wojtkowiak 346","Ożarów","68"
"208","Amabela","Świerczyński","95-085-28-24","ul. Marek 16566","Błaszki","19"
"209","Roland","Banasiak","22-992-29-29","ul. Lenart 68961","Obrzycko","51"
"210","Rajmund","Gruszka","85-571-43-60","ul. Czaja 01612","Dzierzgoń","21"
"211","Korneli","Adamczyk","82-261-51-40","al. Wilczek 599","Kołaczyce","25"
"212","Klarencjusz","Kołodziejczyk","85-993-16-69","ul. Strzelecki 55113","Wasilków","40"
"213","Nestor","Kowal","65-242-10-65","al. Cichoń 73675","Brzeszcze","78"
"214","Leon","Lisiecki","58-605-13-14","al. Łukaszewski 17100","Glinojeck","94"
"215","Błażej","Raczyński","16-529-57-71","al. Sadowski 2482","Nekla","36"
"216","Mateusz","Pająk","42-257-76-84","ul. Jabłoński 26924","Oświęcim","82"
"217","Jan","Gruszka","41-147-47-17","al. Gołębiowski 110","Skórcz","17"
"218","Grzegorz","Karaś","71-852-62-37","al. Płonka 9807","Milicz","75"
"219","Piotr","Chrzanowski","25-995-51-97","ul. Rutkowski 8775","Paczków","46"
"220","Luiza","Pytel","61-526-68-66","al. Tkaczyk 22789","Dąbrowa Górnicza","60"
"221","Zygmunt","Dubiel","91-054-41-93","al. Leszczyński 7167","Brańsk","71"
"222","Izolda","Popławski","33-831-13-18","ul. Wojtczak 102","Trzebnica","49"
"223","Justyn","Król","24-606-61-37","al. Florek 7242","Drobin","69"
"224","Arystarch","Lach","65-303-06-02","ul. Bieńkowski 30662","Zwierzyniec","12"
"225","Eleazar","Kalisz","87-909-39-10","al. Kozioł 04627","Strzelin","50"
"226","Gerazym","Kępa","67-357-59-25","ul. Mika 8234","Wieliczka","48"
"227","Izydor","Skalski","43-421-46-09","ul. Kołodziej 05139","Szprotawa","38"
"228","Roger","Bartkowiak","34-925-16-53","ul. Świderski 886","Stryków","15"
"229","Kamila","Bartosik","22-282-58-88","ul. Tokarski 5431","Kęty","31"
"230","Samson","Jędrzejczak","67-626-08-20","al. Rzepka 28083","Mszana Dolna","11"
"231","Nina","Rogalski","17-319-38-77","al. Knapik 51501","Wolbrom","30"
"232","Hipolit","Sławiński","95-867-48-88","ul. Mrozek 50038","Młynary","12"
"233","Lucja","Stefański","77-972-12-01","al. Żukowski 057","Kłobuck","26"
"234","Wilfryd","Stolarski","52-739-26-81","al. Szwed 41115","Młynary","88"
"235","Alan","Kula","59-059-19-80","ul. Pluta 37869","Ryn","71"
"236","Adam","Zagórski","33-289-82-08","ul. Pałka 4151","Koszalin","94"
"237","Ksenia","Knapik","43-845-94-27","al. Owczarek 96969","Golub-Dobrzyń","54"
"238","Maja","Wasiak","55-480-48-32","al. Bochenek 45515","Miejska Górka","0"
"239","Fryderyk","Piechota","81-861-75-69","ul. Piekarski 375","Izbica Kujawska","24"
"240","Florencja","Szczęsny","18-480-85-92","al. Żurawski 603","Lidzbark Warmiński","84"
"241","Kleopatra","Żurek","24-569-92-66","al. Leszczyński 1181","Sompolno","1"
"242","Herman","Kucharski","33-605-68-02","ul. Mroczek 7875","Żerków","24"
"243","Emil","Szczerba","18-979-91-40","ul. Jędrzejewski 31736","Margonin","19"
"244","Olimpia","Wolny","14-339-85-11","ul. Gołębiewski 3629","Międzylesie","65"
"245","Mojżesz","Stanisławski","95-869-10-15","ul. Sołtys 008","Wiązów","98"
"246","Korneli","Banaś","71-345-88-25","ul. Lenart 8342","Chmielnik","1"
"247","Bertrand","Pawłowski","23-877-80-00","ul. Bieńkowski 157","Biała Piska","66"
"248","Eliza","Hajduk","33-989-31-23","ul. Rosiński 3614","Łęczna","95"
"249","Zachariasz","Marciniak","85-423-57-40","ul. Kwaśniewski 034","Alwernia","93"
"250","Dina","Maćkowiak","77-010-56-38","al. Skowron 3336","Olszyna","53"
"251","Ernest","Niedźwiecki","16-134-58-24","al. Owczarek 9557","Zawidów","0"
"252","Ansgary","Grzesik","77-790-18-37","al. Morawski 9830","Brześć Kujawski","10"
"253","Kalistrat","Jędrzejczak","65-499-16-77","ul. Sieradzki 39932","Choszczno","7"
"254","Benedykt","Stefański","25-935-38-66","al. Mazur 65617","Mirsk","46"
"255","Konstancja","Krukowski","94-567-06-81","ul. Rosiński 3911","Golina","81"
"256","Ksenia","Urban","16-712-49-02","ul. Pietrzak 78732","Imielin","18"
"257","Pantaleon","Tomala","23-586-09-59","ul. Michalski 652","Chełmno","19"
"258","Ambroży","Osiński","84-271-04-57","al. Pietruszka 7033","Przeworsk","60"
"259","Prokop","Januszewski","85-362-43-92","ul. Kuc 9820","Bobolice","17"
"260","Jeremi","Wnuk","89-257-16-22","al. Pałka 88119","Nowa Sarzyna","94"
"261","Weronika","Konieczny","82-324-29-58","al. Szczęsny 076","Tychy","77"
"262","Mojżesz","Kita","29-968-96-19","ul. Majka 4600","Góra Kalwaria","25"
"263","Florian","Malicki","24-617-68-62","al. Sitek 43335","Piaski","15"
"264","Kornelia","Brzeziński","85-092-67-18","al. Jaros 874","Kobyłka","72"
"265","Greta","Maćkowiak","41-480-70-54","ul. Sochacki 63963","Kleczew","74"
"266","Julia","Urbaniak","44-128-95-04","al. Lipski 1607","Ostrowiec Świętokrzyski","86"
"267","Edward","Kulesza","56-224-46-48","al. Jędrzejczak 94554","Czempiń","32"
"268","Stanisław","Rosiak","68-672-45-40","ul. Śliwiński 657","Pakość","72"
"269","Łukasz","Górski","14-552-26-37","ul. Golec 044","Lewin Brzeski","74"
"270","Karolina","Słowiński","14-096-11-59","al. Bartosik 298","Szczucin","96"
"271","Antoni","Wójcicki","48-312-00-87","al. Jastrzębski 679","Zbąszynek","61"
"272","Cezary","Furman","42-113-83-15","al. Szostak 83500","Mirosławiec","49"
"273","Władysław","Więckowski","87-571-68-80","al. Banaś 1535","Młynary","86"
"274","Aaron","Sawicki","55-365-58-39","ul. Kiełbasa 295","Lipsk","15"
"275","Kamila","Kisiel","44-258-69-12","ul. Mucha 6478","Woźniki","45"
"276","Rozalia","Młynarczyk","34-101-62-25","ul. Filipek 92395","Suwałki","53"
"277","Renata","Rosa","46-224-28-07","ul. Trzciński 7425","Kisielice","20"
"278","Archibald","Kot","86-227-63-60","al. Skrzypczak 1518","Golub-Dobrzyń","43"
"279","Brygida","Osiński","89-600-76-49","ul. Sołtysiak 6579","Rychwał","52"
"280","Maurycy","Brzozowski","87-375-83-06","al. Błaszczyk 48631","Włocławek","9"
"281","Prokop","Jabłoński","13-120-74-77","al. Gaweł 2817","Gubin","54"
"282","Włodzimierz","Bartczak","91-194-19-68","ul. Szczygieł 578","Pionki","2"
"283","Sergiusz","Radomski","87-489-82-48","al. Kotowski 607","Solec Kujawski","34"
"284","Porfiriusz","Gil","14-248-47-34","ul. Krupiński 1564","Łomża","8"
"285","Sergiusz","Lech","14-034-70-28","al. Czechowski 8003","Rejowiec Fabryczny","96"
"286","Amabela","Czapla","86-413-17-37","al. Włodarczyk 667","Sierpc","88"
"287","Bazyli","Wysocki","52-142-58-00","al. Głąb 89929","Grudziądz","9"
"288","Liza","Koper","43-669-40-94","al. Grzelak 6687","Wolsztyn","8"
"289","Pantaleon","Kozieł","61-873-38-43","ul. Szczepanik 34776","Wołczyn","71"
"290","Weronika","Rybicki","41-421-24-03","ul. Chudzik 408","Niemcza","50"
"291","Paweł","Jakubiak","62-466-33-44","al. Szostak 624","Gliwice","96"
"292","Paweł","Osiński","15-267-17-56","ul. Czechowski 42265","Żarów","22"
"293","Andrzej","Zajączkowski","34-073-99-82","ul. Kuc 8991","Zbąszyń","33"
"294","August","Tomczak","84-245-03-18","al. Rogala 77034","Sława","95"
"295","Rozalia","Świderski","76-147-78-58","ul. Urbanek 805","Prochowice","35"
"296","Szczepan","Bielski","63-660-83-52","ul. Matusiak 52885","Górzno","16"
"297","Jakub","Karpiński","44-632-57-14","ul. Niemiec 86522","Gryfów Śląski","3"
"298","Julia","Chudzik","17-959-86-54","al. Wróblewski 01354","Hel","26"
"299","Waleria","Zięba","62-951-44-71","ul. Leśniewski 98854","Kamienna Góra","90"
"300","Berta","Burzyński","34-861-85-42","ul. Kucharczyk 13545","Warka","24"
"301","Walentyna","Zdunek","82-945-15-27","al. Płonka 8127","Poniec","12"
"302","Hugo","Staszewski","75-876-06-68","al. Kępa 064","Zbąszynek","52"
"303","Ksenofont","Piątkowski","74-394-74-51","al. Cieślik 290","Obrzycko","49"
"304","Łucja","Cichoń","29-363-44-80","al. Łukasiewicz 5670","Pieniężno","76"
"305","Paulina","Lis","89-321-84-40","al. Miśkiewicz 269","Krośniewice","98"
"306","Rajmund","Kmiecik","15-828-71-47","al. Jurkowski 44335","Kobyłka","51"
"307","Jan","Stępniak","89-408-54-76","ul. Niemiec 1259","Ostróda","34"
"308","Anna","Dąbrowski","15-101-55-24","al. Bielawski 705","Kraków","44"
"309","Franciszka","Filipek","68-307-24-41","ul. Pytel 65226","Nowa Dęba","18"
"310","Samuel","Jankowiak","12-331-24-57","al. Lenart 560","Zduńska Wola","20"
"311","Michał","Cebula","81-535-75-83","al. Janowski 408","Kalety","56"
"312","Rachela","Jastrzębski","29-747-92-73","ul. Maciąg 74961","Paczków","22"
"313","Cyryl","Mika","59-702-63-75","al. Sławiński 8260","Hel","91"
"314","Adam","Chmielewski","74-821-00-36","al. Kuliński 954","Dolsk","91"
"315","Magdalena","Rudnicki","42-734-97-17","ul. Wysocki 08340","Knurów","59"
"316","Platon","Grzegorczyk","89-145-77-62","al. Kozieł 7155","Cedynia","83"
"317","Julia","Chojnowski","94-369-72-07","al. Janowski 08620","Łochów","38"
"318","Roksana","Rogalski","89-734-53-22","al. Jasiński 56325","Opole","5"
"319","Liza","Płonka","77-409-39-15","al. Kuchta 6269","Żmigród","65"
